SAS_ID	PROJECT	PREDDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	PREDECESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	FREQ_RES	TIME_RES	CHANNEL_WIDTH	CLOCK	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	DEMIXING
245357	LC1_014	431276	431276	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788150272	2.9986816666700003E+002	4.0733916666699997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245359	LC1_014	431280	431280	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788160512	3.5085000000000002E+002	5.8814999999999998E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245361	LC1_014	431284	431284	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1078818304	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245363	LC1_014	431288	431288	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788156416	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245365	LC1_014	431292	431292	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788212736	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245367	LC1_014	431296	431296	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1078802944	2.9986816666700003E+002	4.0733916666699997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245369	LC1_014	431300	431300	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788117504	3.5085000000000002E+002	5.8814999999999998E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245371	LC1_014	431304	431304	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788186112	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245373	LC1_014	431308	431308	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1073139712	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	378	1
245375	LC1_014	431312	431312	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788195328	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
