MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset [HR]
247884	123753	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,478848983	1,9053337500000001E+002	3,2541499999999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1245007356	1799,875	10439,275	939,53475
247886	123754	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
247888	123755	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,478848983	1,9053337500000001E+002	3,2541499999999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1245007356	1799,875	10439,275	939,53475
247890	123756	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
247892	123757	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,478848983	1,9053337500000001E+002	3,2541499999999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1245007356	1799,875	10439,275	939,53475
247894	123758	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
247896	123759	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,478848983	1,9053337500000001E+002	3,2541499999999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1245007356	1799,875	10439,275	939,53475
247898	123760	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
247900	123761	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,478848983	1,9053337500000001E+002	3,2541499999999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1245007356	1799,875	10439,275	939,53475
247902	123762	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
247904	123763	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,478848983	1,9053337500000001E+002	3,2541499999999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1245007356	1799,875	10439,275	939,53475
247906	123764	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
247908	123765	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,478848983	1,9053337500000001E+002	3,2541499999999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1245007356	1799,875	10439,275	939,53475
247910	123766	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
247912	123767	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,478848983	1,9053337500000001E+002	3,2541499999999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1245007356	1799,875	10439,275	939,53475
247914	123768	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
247916	123769	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,478848983	1,9053337500000001E+002	3,2541499999999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1245007356	1799,875	10439,275	939,53475
247918	123770	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
