MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset
527617	347192	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527620	347196	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527623	347200	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527626	347204	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527629	347208	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527632	347212	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527635	347216	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527638	347220	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527641	347224	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527644	347228	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527647	347232	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,058063616	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,01509654016	17,6	61,6	6,314
